City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Acapulco,MX,16.8634,-99.8901,84.31,73,100,3.49,overcast clouds
82,Hobart,AU,-42.8794,147.3294,50.25,92,75,1.01,light rain
83,Yarmouth,US,41.7057,-70.2286,90.23,63,1,5.99,clear sky
84,Hithadhoo,MV,-0.6,73.0833,82.9,74,56,10.29,broken clouds
85,Ilulissat,GL,69.2167,-51.1,43.57,61,0,5.7,clear sky
86,Kuala Terengganu,MY,5.3302,103.1408,81.28,83,99,3.83,overcast clouds
87,Torbay,CA,47.6666,-52.7314,83.88,54,40,27.63,scattered clouds
88,Kangaatsiaq,GL,68.3065,-53.4641,38.84,86,67,10.13,broken clouds
89,Lagoa,PT,39.05,-27.9833,65.21,92,58,17.98,broken clouds
90,Alexandria,EG,31.2156,29.9553,78.66,55,0,8.84,clear sky
91,Wisconsin Rapids,US,44.3836,-89.8174,85.23,72,20,5.75,few clouds
92,Yellowknife,CA,62.456,-114.3525,41.56,75,90,1.01,overcast clouds
93,Naifaru,MV,5.4444,73.3657,83.37,74,100,15.59,overcast clouds
94,Chokurdakh,RU,70.6333,147.9167,36.14,79,24,3.27,few clouds
95,Koppang,NO,61.5706,11.0555,65.44,65,100,3.94,moderate rain
96,Ishigaki,JP,24.3448,124.1572,81.19,80,100,18.23,overcast clouds
97,Senanga,ZM,-16.1167,23.2667,79.03,23,23,4.09,few clouds
98,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,43.2,95,98,1.12,overcast clouds
99,Airai,TL,-8.9266,125.4092,57.83,92,72,2.39,broken clouds
100,Port Elizabeth,ZA,-33.918,25.5701,77.29,38,0,4.61,clear sky
101,Avarua,CK,-21.2078,-159.775,69.85,88,20,3.44,few clouds
102,Ponta Do Sol,PT,32.6667,-17.1,77.63,57,88,5.64,overcast clouds
103,Hasaki,JP,35.7333,140.8333,68.4,78,46,7.76,scattered clouds
104,Shimoda,JP,34.6667,138.95,74.16,81,3,12.88,clear sky
105,Victoria,HK,22.2855,114.1577,85.32,84,96,1.99,overcast clouds
106,Luangwa,ZM,-15.6167,30.4167,73.76,49,48,4.43,scattered clouds
107,East London,ZA,-33.0153,27.9116,70.25,56,39,9.1,scattered clouds
108,Kodiak,US,57.79,-152.4072,47.8,80,100,6.04,overcast clouds
109,Jezerski,BA,44.9808,16.0842,75.06,61,95,2.51,light rain
110,Hilo,US,19.7297,-155.09,73.27,90,90,6.91,moderate rain
111,Salalah,OM,17.0151,54.0924,83.35,85,53,11.72,broken clouds
112,Soyo,AO,-6.1349,12.3689,80.28,76,9,12.82,clear sky
113,Turukhansk,RU,65.8167,87.9833,42.46,56,86,9.93,overcast clouds
114,Albany,US,42.6001,-73.9662,87.19,70,100,0.69,overcast clouds
115,Bethel,US,41.3712,-73.414,89.49,78,100,5.88,overcast clouds
116,Bunia,CD,1.5667,30.25,78.39,57,24,3.96,few clouds
117,Hambantota,LK,6.1241,81.1185,77.34,94,40,16.51,scattered clouds
118,Port Hawkesbury,CA,45.6169,-61.3485,88.92,64,89,13.67,overcast clouds
119,Qurayyat,SA,31.3318,37.3428,91.99,8,59,16.53,broken clouds
120,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,80,75,14.97,broken clouds
121,Chara,RU,56.9064,118.2631,51.39,91,100,9.35,moderate rain
122,Mallaig,CA,54.2169,-111.3685,48.33,76,100,7.36,overcast clouds
123,Nikolskoye,RU,59.7035,30.7861,69.8,39,92,8.68,overcast clouds
124,Tuatapere,NZ,-46.1333,167.6833,49.82,92,100,3.94,overcast clouds
125,Rincon,US,32.296,-81.2354,82.58,51,84,7.14,broken clouds
126,New Norfolk,AU,-42.7826,147.0587,49.91,84,99,1.95,overcast clouds
127,Mount Isa,AU,-20.7333,139.5,60.57,39,0,17.27,clear sky
128,Veinte De Noviembre,MX,14.9833,-92.25,83.23,63,100,2.28,overcast clouds
129,Fortuna,US,40.5982,-124.1573,54.93,72,90,1.01,overcast clouds
130,Uyemskiy,RU,64.4743,40.8524,62.65,39,20,6.87,few clouds
131,Bluff,NZ,-46.6,168.3333,49.8,87,100,5.99,overcast clouds
132,Port Macquarie,AU,-31.4333,152.9167,58.89,71,77,19.01,broken clouds
133,Boundiali,CI,9.5217,-6.4869,92.61,40,96,6.11,overcast clouds
134,Itaituba,BR,-4.2761,-55.9836,93.42,42,92,2.8,overcast clouds
135,Terney,RU,45.0503,136.6092,52.52,92,15,1.32,few clouds
136,Talnakh,RU,69.4865,88.3972,33.3,90,97,1.01,overcast clouds
137,Sao Filipe,CV,14.8961,-24.4956,80.42,57,55,10.85,broken clouds
138,Mumford,GH,5.2618,-0.759,84.25,70,14,12.71,few clouds
139,Rudnaya Pristan,RU,44.3614,135.8116,53.04,93,4,2.15,clear sky
140,Krasnoarmeysk,RU,51.0239,45.6969,65.16,68,79,2.59,broken clouds
141,Agadez,NE,19.75,10.25,103.57,7,100,7.45,overcast clouds
142,Seoul,KR,37.5683,126.9778,71.2,86,0,1.88,mist
143,Metro,ID,-5.1131,105.3067,75.27,92,87,5.53,overcast clouds
144,Namibe,AO,-15.1961,12.1522,84.83,54,0,17.27,clear sky
145,Saint-Philippe,RE,-21.3585,55.7679,71.15,76,36,16.44,light rain
146,San Patricio,US,28.017,-97.5169,86.72,72,41,16.58,scattered clouds
147,Port Lincoln,AU,-34.7333,135.8667,54.1,60,98,19.66,overcast clouds
148,The Pas,CA,53.8251,-101.2541,57.22,88,40,5.17,scattered clouds
149,Nishihara,JP,26.1842,127.7558,77.05,94,75,8.63,moderate rain
150,Svetlaya,RU,46.5389,138.3297,49.15,90,18,4.88,few clouds
151,Lebu,CL,-37.6167,-73.65,55.51,98,100,6.93,moderate rain
152,Okha,RU,53.5739,142.9478,44.74,90,16,5.75,few clouds
153,Tobol,KZ,52.6844,62.5794,69.89,52,58,14.25,broken clouds
154,Buraydah,SA,26.326,43.975,105.31,7,0,12.3,clear sky
155,Tivaouane,SN,14.9515,-16.8129,95.34,30,1,14.99,clear sky
156,Chuy,UY,-33.6971,-53.4616,63.16,79,98,12.86,overcast clouds
157,Waipawa,NZ,-41.4122,175.5153,50.04,93,47,3.58,scattered clouds
158,Tambovka,RU,50.0969,128.0489,64.51,74,61,8.77,broken clouds
159,Sioux Lookout,CA,50.1001,-91.917,71.67,49,90,3.44,overcast clouds
160,Ambilobe,MG,-13.2,49.05,73.33,74,1,0.63,clear sky
161,Pecos,US,31.4229,-103.4932,90.3,12,1,6.91,clear sky
162,Mananara,MG,-16.1667,49.7667,68.85,92,28,9.6,moderate rain
163,Lodja,CD,-3.4833,23.4333,93.38,29,67,4.76,broken clouds
164,Port Hedland,AU,-20.3167,118.5667,77.05,19,100,14.97,overcast clouds
165,Tessalit,ML,20.1986,1.0114,110.17,6,0,22.93,clear sky
166,Dikson,RU,73.5069,80.5464,30.69,91,15,13.76,few clouds
167,Itarema,BR,-2.9248,-39.9167,86.79,61,91,13.09,moderate rain
168,Kalmunai,LK,7.4167,81.8167,80.89,78,89,6.38,overcast clouds
169,Murray Bridge,AU,-35.1167,139.2667,48.13,69,51,17.78,broken clouds
170,Abu Samrah,SY,35.3029,37.1841,88.38,20,0,16.71,clear sky
171,Te Anau,NZ,-45.4167,167.7167,45.0,94,100,0.74,overcast clouds
172,Zhuhai,CN,22.2769,113.5678,84.11,84,40,6.69,scattered clouds
173,Dingle,PH,10.9995,122.6711,77.77,88,100,0.22,light rain
174,Port Shepstone,ZA,-30.7414,30.455,65.34,64,0,7.31,clear sky
175,Tyukhtet,RU,56.5389,89.3011,60.31,80,31,6.29,scattered clouds
176,Saldanha,ZA,-33.0117,17.9442,68.05,76,11,8.23,few clouds
177,Esperance,AU,-33.8667,121.9,51.64,72,93,11.18,overcast clouds
178,Sarakhs,IR,36.5449,61.1577,91.04,22,0,12.37,clear sky
179,Muroto,JP,33.2833,134.15,73.96,78,82,5.97,broken clouds
180,Chumikan,RU,54.7183,135.315,52.57,91,20,5.3,few clouds
181,Mitu,CO,1.1983,-70.1733,76.5,90,93,2.73,overcast clouds
182,Staryy Nadym,RU,65.6118,72.6842,43.57,51,96,10.4,overcast clouds
183,Geraldton,AU,-28.7667,114.6,64.81,42,90,27.76,moderate rain
184,Buchanan,LR,5.8808,-10.0467,85.96,73,94,8.63,light rain
185,Byron Bay,AU,-28.65,153.6167,64.71,76,17,19.93,few clouds
186,Cartagena,CO,10.3997,-75.5144,83.82,84,75,4.61,broken clouds
187,Kuusamo,FI,65.9667,29.1833,68.04,34,0,5.75,light rain
188,Necochea,AR,-38.5473,-58.7368,54.03,68,6,15.93,clear sky
189,Hamilton,US,39.1834,-84.5333,80.11,85,100,1.01,overcast clouds
190,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,83,75,14.97,broken clouds
191,Zhanaozen,KZ,43.3,52.8,78.22,33,11,14.92,few clouds
192,Bafra,TR,41.5678,35.9069,73.18,68,94,5.79,overcast clouds
193,Zyryanka,RU,65.75,150.85,46.89,62,37,2.17,scattered clouds
194,Den Helder,NL,52.9599,4.7593,78.94,60,90,8.05,overcast clouds
195,Bengkulu,ID,-3.8004,102.2655,77.23,86,100,4.45,overcast clouds
196,Mosetse,BW,-20.75,26.65,69.91,31,28,4.79,scattered clouds
197,Namuac,PH,18.6109,121.1657,80.04,85,100,5.3,heavy intensity rain
198,Mackay,AU,-21.15,149.2,68.04,86,99,5.39,overcast clouds
199,Cooma,AU,-36.2333,149.1333,38.28,96,100,1.25,overcast clouds
200,Hare Bay,CA,48.8499,-54.0148,87.26,40,4,16.4,clear sky
201,San Marcos,US,33.1434,-117.1661,64.24,76,1,3.0,clear sky
202,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,79,97,9.89,overcast clouds
203,Mackenzie,CA,55.2999,-123.1698,52.39,49,74,4.72,broken clouds
204,Mar Del Plata,AR,-38.0023,-57.5575,57.87,59,0,5.99,clear sky
205,Coquimbo,CL,-29.9533,-71.3436,51.53,76,0,2.24,fog
206,Rorvik,NO,64.8621,11.2373,57.31,82,75,12.66,broken clouds
207,Sibolga,ID,1.7427,98.7792,77.2,84,32,3.15,light rain
208,Lerwick,GB,60.1545,-1.1494,53.6,87,64,9.51,broken clouds
209,Boende,CD,-0.2167,20.8667,75.09,90,99,5.17,light rain
210,Sitka,US,57.0531,-135.33,49.89,81,1,0.0,clear sky
211,Sawtell,AU,-30.3833,153.1,62.62,72,75,14.97,light rain
212,Haines Junction,CA,60.7522,-137.5108,40.95,81,0,0.0,clear sky
213,Puerto Ayora,EC,-0.7393,-90.3518,76.96,87,75,5.01,broken clouds
214,Cap Malheureux,MU,-19.9842,57.6142,72.46,67,45,8.01,scattered clouds
215,Price,US,39.5994,-110.8107,71.11,19,3,10.96,clear sky
216,Galdar,ES,28.147,-15.6502,76.35,69,100,11.07,overcast clouds
217,Cabo San Lucas,MX,22.8909,-109.9124,92.8,51,5,3.51,clear sky
218,Quatre Cocos,MU,-20.2078,57.7625,72.09,70,92,18.23,overcast clouds
219,Stupino,RU,54.9008,38.0708,70.83,74,86,2.82,overcast clouds
220,Arona,ES,28.0996,-16.681,78.98,52,0,5.01,clear sky
221,Klaksvik,FO,62.2266,-6.589,50.92,97,54,15.41,broken clouds
222,Lumberton,US,34.6182,-79.0086,82.94,81,99,6.4,overcast clouds
223,Kununurra,AU,-15.7667,128.7333,62.58,72,1,3.44,clear sky
224,Berbera,SO,10.4396,45.0143,93.83,48,6,2.91,clear sky
225,Barguzin,RU,53.6167,109.6167,48.65,96,96,1.59,overcast clouds
226,Jalu,LY,29.0331,21.5482,100.98,11,3,0.43,clear sky
227,Aksu,CN,41.1231,80.2644,84.47,20,100,7.36,overcast clouds
228,Awbari,LY,26.5921,12.7805,103.42,9,37,9.57,scattered clouds
229,Gasa,PS,31.5,34.4667,81.91,45,20,11.45,few clouds
230,Tocopilla,CL,-22.092,-70.1979,67.95,61,99,5.37,overcast clouds
231,Magadan,RU,59.5667,150.8,42.06,93,12,2.64,few clouds
232,Sorong,ID,-0.8833,131.25,79.27,88,91,7.0,overcast clouds
233,Lentekhi,GE,42.7856,42.7261,66.88,50,39,4.52,scattered clouds
234,Rio Gallegos,AR,-51.6226,-69.2181,42.85,81,40,19.57,scattered clouds
235,Nanortalik,GL,60.1432,-45.2371,42.44,74,31,4.85,scattered clouds
236,Sabha,LY,27.0377,14.4283,102.15,9,11,7.09,few clouds
237,Ganzhou,CN,28.8184,115.4327,77.09,90,96,2.01,overcast clouds
238,Trindade,BR,-16.6494,-49.4889,85.15,28,0,7.05,clear sky
239,Na Wa,TH,17.4897,104.1006,77.59,88,100,4.83,overcast clouds
240,Mehamn,NO,71.0357,27.8492,55.31,62,0,10.36,clear sky
241,Nsanje,MW,-16.92,35.262,70.97,69,37,5.57,scattered clouds
242,Fort Madison,US,40.6298,-91.3151,83.12,83,0,0.0,clear sky
243,Kirakira,SB,-10.4544,161.9205,77.31,84,98,7.87,overcast clouds
244,Pevek,RU,69.7008,170.3133,43.57,74,5,6.17,clear sky
245,Qaqortoq,GL,60.7167,-46.0333,44.28,69,22,4.54,few clouds
246,Pitimbu,BR,-7.4706,-34.8086,84.79,75,100,10.07,overcast clouds
247,Yulara,AU,-25.2406,130.9889,49.84,53,16,8.05,few clouds
248,Elliot Lake,CA,46.3834,-82.6331,79.57,61,49,6.51,scattered clouds
249,Cayenne,GF,4.9333,-52.3333,78.84,94,75,9.62,broken clouds
250,Luderitz,NA,-26.6481,15.1594,62.33,76,0,4.09,clear sky
251,Kruisfontein,ZA,-34.0033,24.7314,68.02,40,32,7.54,scattered clouds
252,Caravelas,BR,-17.7125,-39.2481,80.91,65,42,6.29,scattered clouds
253,Baiyin,CN,36.5583,104.2081,64.72,64,100,18.21,overcast clouds
254,Itumba,TZ,-9.4,33.1833,65.88,72,22,7.25,few clouds
255,Rio Negrinho,BR,-26.2544,-49.5183,59.94,97,100,4.34,overcast clouds
256,Dezful,IR,32.3811,48.4058,106.93,3,0,18.57,clear sky
257,Mahebourg,MU,-20.4081,57.7,73.69,73,40,12.66,light rain
258,Mercedes,AR,-34.6515,-59.4307,65.86,71,10,6.38,clear sky
259,Isangel,VU,-19.55,169.2667,69.39,71,100,8.08,overcast clouds
260,Bahadurgarh,IN,28.6833,76.9167,98.71,18,0,13.38,clear sky
261,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,14.97,scattered clouds
262,Sarangani,PH,5.4033,125.4636,83.79,73,100,10.49,overcast clouds
263,Shumskiy,RU,54.8318,99.1328,55.65,82,5,5.37,clear sky
264,Vzmorye,RU,54.6961,20.2361,69.89,63,99,9.08,overcast clouds
265,Parabel,RU,58.6978,81.4825,40.84,78,100,13.82,overcast clouds
266,Port-Gentil,GA,-0.7193,8.7815,84.16,74,40,17.27,light rain
267,Kananga,CD,-5.8958,22.4178,90.82,29,41,6.58,scattered clouds
268,Lazaro Cardenas,MX,17.9583,-102.2,86.13,62,73,0.4,broken clouds
269,Komsomolskiy,UZ,40.4272,71.7189,84.92,34,5,11.5,clear sky
270,Nogliki,RU,51.8333,143.1667,41.94,94,58,8.19,broken clouds
271,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,78,0,8.21,clear sky
272,Puerto Escondido,MX,15.85,-97.0667,85.44,67,100,1.28,overcast clouds
273,Maragogi,BR,-9.0122,-35.2225,80.8,74,70,8.41,broken clouds
274,Cuenca,EC,-2.8833,-78.9833,56.84,87,98,4.0,overcast clouds
275,Kloulklubed,PW,7.0419,134.2556,75.7,71,59,4.07,broken clouds
276,Berdigestyakh,RU,62.0989,126.6992,55.85,79,98,5.17,light rain
277,Wang Saphung,TH,17.301,101.7685,79.7,93,100,3.18,light rain
278,Bosaso,SO,11.2842,49.1816,92.12,52,0,3.33,clear sky
279,Villa Guerrero,MX,18.8667,-99.65,75.58,50,58,1.52,broken clouds
280,Cherskiy,RU,68.75,161.3,38.61,82,75,11.43,broken clouds
281,Zalesovo,RU,53.9939,84.7431,61.74,68,2,5.5,clear sky
282,Meghraj,IN,23.5,73.5,92.52,48,91,11.61,overcast clouds
283,Were Ilu,ET,10.6,39.4333,65.61,37,66,10.29,broken clouds
284,Port Augusta,AU,-32.5,137.7667,44.74,65,8,13.06,clear sky
285,Rajbiraj,NP,26.5333,86.75,86.99,63,0,13.87,clear sky
286,Katsuura,JP,35.1333,140.3,73.11,79,70,14.43,broken clouds
287,Mocuba,MZ,-16.8392,36.9856,67.68,76,48,4.83,scattered clouds
288,Bodden Town,KY,19.2833,-81.25,86.94,55,40,5.99,scattered clouds
289,Council Bluffs,US,41.2619,-95.8608,84.31,67,40,4.61,scattered clouds
290,Ancud,CL,-41.8697,-73.8203,51.42,79,100,18.25,light rain
291,Vanimo,PG,-2.6741,141.3028,78.53,86,91,1.95,overcast clouds
292,Tromso,NO,69.6496,18.957,68.65,62,0,4.61,clear sky
293,Dondo,MZ,-19.6094,34.7431,71.11,81,38,6.29,scattered clouds
294,Marystown,CA,47.1666,-55.1483,63.07,78,59,20.2,broken clouds
295,Kavaratti,IN,10.5669,72.642,83.61,75,73,16.24,broken clouds
296,Lompoc,US,34.6391,-120.4579,60.57,83,90,3.0,overcast clouds
297,Isla Mujeres,MX,21.2311,-86.731,84.16,72,100,14.27,overcast clouds
298,Ereymentau,KZ,51.6199,73.1033,68.88,43,86,2.48,overcast clouds
299,Saint George,US,37.1041,-113.5841,81.07,24,0,1.01,clear sky
300,Balykshi,KZ,47.0667,51.8667,66.2,82,75,11.18,broken clouds
301,Pangnirtung,CA,66.1451,-65.7125,39.2,87,75,9.22,broken clouds
302,Eatonton,US,33.3268,-83.3885,78.78,96,77,4.34,broken clouds
303,La Ronge,CA,55.1001,-105.2842,51.13,85,76,5.32,broken clouds
304,Cozumel,MX,20.5083,-86.9458,84.11,83,75,7.0,broken clouds
305,Guerrero Negro,MX,27.9769,-114.0611,63.79,70,89,13.13,overcast clouds
306,Imeni Poliny Osipenko,RU,52.4201,136.4853,60.17,82,26,3.91,scattered clouds
307,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.44,76,90,14.36,moderate rain
308,Sampit,ID,-2.5333,112.95,76.39,91,66,2.66,broken clouds
309,Januaria,BR,-15.4833,-44.3667,88.63,30,75,5.53,broken clouds
310,Muravlenko,RU,63.7898,74.523,45.59,47,88,15.1,overcast clouds
311,Tecoanapa,MX,16.5167,-98.75,84.18,74,99,2.01,overcast clouds
312,Rio Grande,BR,-32.035,-52.0986,62.71,75,100,17.81,overcast clouds
313,Vostok,RU,46.4856,135.8833,56.52,91,7,3.67,clear sky
314,Surazh,RU,53.0175,32.3918,67.59,79,87,7.9,moderate rain
315,Am Timan,TD,11.0297,20.2827,94.08,35,84,14.2,broken clouds
316,Kiama,AU,-34.6833,150.8667,55.38,66,100,5.01,overcast clouds
317,Cidreira,BR,-30.1811,-50.2056,65.05,79,100,16.8,overcast clouds
318,Ahuimanu,US,21.4447,-157.8378,74.91,74,20,14.09,few clouds
319,Kabalo,CD,-6.05,26.9167,89.76,32,54,5.03,broken clouds
320,Loreto,MX,22.2667,-101.9667,75.15,29,96,5.53,overcast clouds
321,Puerto El Triunfo,SV,13.2833,-88.55,86.16,66,58,2.59,broken clouds
322,Richards Bay,ZA,-28.783,32.0377,68.72,71,0,12.75,clear sky
323,Quebo,GW,11.3333,-14.9333,99.46,35,40,9.06,scattered clouds
324,Coihaique,CL,-45.5752,-72.0662,44.51,90,95,6.93,moderate rain
325,Ozernovskiy,RU,51.5,156.5167,43.61,97,81,2.93,broken clouds
326,Maceio,BR,-9.6658,-35.7353,80.04,78,75,11.03,broken clouds
327,Atherton,GB,53.5237,-2.4935,75.88,37,99,1.99,overcast clouds
328,Varhaug,NO,58.6147,5.6457,63.95,67,40,6.35,scattered clouds
329,Loralai,PK,30.3705,68.598,91.45,22,0,8.75,clear sky
330,Lavrentiya,RU,65.5833,-171.0,33.53,84,90,5.99,overcast clouds
331,Praia Da Vitoria,PT,38.7333,-27.0667,77.25,61,40,11.41,scattered clouds
332,Winnemucca,US,40.973,-117.7357,63.1,27,1,10.42,clear sky
333,Korla,CN,41.7597,86.1469,83.68,22,32,6.87,scattered clouds
334,Prince Rupert,CA,54.3161,-130.3201,48.29,87,75,3.44,broken clouds
335,Laguna,US,38.421,-121.4238,59.45,70,40,5.01,scattered clouds
336,Gold Coast,AU,-28.0,153.4333,64.99,86,90,3.0,overcast clouds
337,Ribeira Grande,PT,38.5167,-28.7,70.2,88,40,11.5,scattered clouds
338,Wasilla,US,61.5814,-149.4394,54.07,72,90,8.01,overcast clouds
339,Presidente Olegario,BR,-18.4178,-46.4181,79.2,34,6,5.3,clear sky
340,Olinda,BR,-8.0089,-34.8553,73.13,88,90,9.69,mist
341,Hofn,IS,64.2539,-15.2082,47.97,86,97,10.33,overcast clouds
342,Yarkovo,RU,57.4028,67.0786,56.05,46,6,6.67,clear sky
343,Berlevag,NO,70.8578,29.0864,55.35,58,75,10.36,broken clouds
344,Rzhev,RU,56.2624,34.3282,67.1,80,100,5.88,moderate rain
345,Bibiani,GH,6.4635,-2.3194,89.49,48,91,2.98,overcast clouds
346,Fort Nelson,CA,58.8053,-122.7002,45.99,66,20,4.61,few clouds
