City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
214,Cap Malheureux,MU,72.46,scattered clouds,-19.9842,57.6142,Grand Baie
215,Price,US,71.11,clear sky,39.5994,-110.8107,Price
216,Galdar,ES,76.35,overcast clouds,28.147,-15.6502,Gáldar
218,Quatre Cocos,MU,72.09,overcast clouds,-20.2078,57.7625,Central Flacq
219,Stupino,RU,70.83,overcast clouds,54.9008,38.0708,Stupino
220,Arona,ES,78.98,clear sky,28.0996,-16.680999999999997,Arona
222,Lumberton,US,82.94,overcast clouds,34.6182,-79.0086,Lumberton
227,Aksu,CN,84.47,overcast clouds,41.1231,80.2644,Aksu Prefecture
229,Gasa,PS,81.91,few clouds,31.5,34.4667,Gaza
232,Sorong,ID,79.27,overcast clouds,-0.8833,131.25,Sorong
237,Ganzhou,CN,77.09,overcast clouds,28.8184,115.4327,Nanchang
238,Trindade,BR,85.15,clear sky,-16.6494,-49.4889,Trindade
239,Na Wa,TH,77.59,overcast clouds,17.4897,104.1006,Na Wa
241,Nsanje,MW,70.97,scattered clouds,-16.92,35.262,Nsanje
242,Fort Madison,US,83.12,clear sky,40.6298,-91.3151,Fort Madison
243,Kirakira,SB,77.31,overcast clouds,-10.4544,161.9205,Arohane
246,Pitimbu,BR,84.79,overcast clouds,-7.4706,-34.8086,Pitimbu
248,Elliot Lake,CA,79.57,scattered clouds,46.3834,-82.6331,Elliot Lake
249,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Cayenne
252,Caravelas,BR,80.91,scattered clouds,-17.7125,-39.2481,Caravelas
257,Mahebourg,MU,73.69,light rain,-20.4081,57.7,Mahebourg
261,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Cockburn Town
262,Sarangani,PH,83.79,overcast clouds,5.4033,125.4636,Municipality of Sarangani
266,Port-Gentil,GA,84.16,light rain,-0.7193,8.7815,Port-Gentil
268,Lazaro Cardenas,MX,86.13,broken clouds,17.9583,-102.2,Lázaro Cárdenas
269,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Fergana
272,Puerto Escondido,MX,85.44,overcast clouds,15.85,-97.0667,Puerto Escondido
273,Maragogi,BR,80.8,broken clouds,-9.0122,-35.2225,Maragogi
275,Kloulklubed,PW,75.7,broken clouds,7.0419,134.2556,Klouklubed
277,Wang Saphung,TH,79.7,light rain,17.301,101.7685,Wang Saphung
279,Villa Guerrero,MX,75.58,broken clouds,18.8667,-99.65,Ixtapan de la Sal
285,Rajbiraj,NP,86.99,clear sky,26.5333,86.75,Rajbiraj
286,Katsuura,JP,73.11,broken clouds,35.1333,140.3,Katsuura
288,Bodden Town,KY,86.94,scattered clouds,19.2833,-81.25,Bodden Town
289,Council Bluffs,US,84.31,scattered clouds,41.2619,-95.8608,Omaha
291,Vanimo,PG,78.53,overcast clouds,-2.6741,141.3028,Vanimo
293,Dondo,MZ,71.11,scattered clouds,-19.6094,34.7431,Dondo
295,Kavaratti,IN,83.61,broken clouds,10.5669,72.642,Kavaratti
297,Isla Mujeres,MX,84.16,overcast clouds,21.2311,-86.73100000000001,Isla Mujeres
299,Saint George,US,81.07,clear sky,37.1041,-113.5841,St. George
302,Eatonton,US,78.78,broken clouds,33.3268,-83.3885,Eatonton
304,Cozumel,MX,84.11,broken clouds,20.5083,-86.9458,San Miguel de Cozumel
308,Sampit,ID,76.39,broken clouds,-2.5333,112.95,Sampit
309,Januaria,BR,88.63,broken clouds,-15.4833,-44.3667,Januária
311,Tecoanapa,MX,84.18,overcast clouds,16.5167,-98.75,Barra de Tecoanapa
318,Ahuimanu,US,74.91,few clouds,21.4447,-157.8378,Honolulu
319,Kabalo,CD,89.76,broken clouds,-6.05,26.9167,Kabalo
320,Loreto,MX,75.15,overcast clouds,22.2667,-101.9667,Centro
321,Puerto El Triunfo,SV,86.16,broken clouds,13.2833,-88.55,Jiquilisco
326,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Maceió
327,Atherton,GB,75.88,overcast clouds,53.5237,-2.4935,Leigh
331,Praia Da Vitoria,PT,77.25,scattered clouds,38.7333,-27.0667,Praia da Vitória
333,Korla,CN,83.68,scattered clouds,41.7597,86.1469,Bayingolin Mongol Autonomous Prefecture
337,Ribeira Grande,PT,70.2,scattered clouds,38.5167,-28.7,Horta
339,Presidente Olegario,BR,79.2,clear sky,-18.4178,-46.4181,Presidente Olegário
340,Olinda,BR,73.13,mist,-8.0089,-34.8553,Olinda
